Series ID,Year,Period,Label,Value
LASST100000000000003,2020,M02,2020 Feb,3.7
LASST100000000000003,2020,M03,2020 Mar,5.0
LASST100000000000003,2020,M04,2020 Apr,13.1
LASST100000000000003,2020,M05,2020 May,13.3
LASST100000000000003,2020,M06,2020 Jun,12.7
LASST100000000000003,2020,M07,2020 Jul,7.7
LASST100000000000003,2020,M08,2020 Aug,7.5
LASST100000000000003,2020,M09,2020 Sep,7.6
LASST100000000000003,2020,M10,2020 Oct,5.3
LASST100000000000003,2020,M11,2020 Nov,5.4
LASST100000000000003,2020,M12,2020 Dec,5.6
LASST100000000000003,2021,M01,2021 Jan,5.7
LASST100000000000003,2021,M02,2021 Feb,5.7
LASST100000000000003,2021,M03,2021 Mar,5.8
LASST100000000000003,2021,M04,2021 Apr,5.8
LASST100000000000003,2021,M05,2021 May,5.7
LASST100000000000003,2021,M06,2021 Jun,5.7
LASST100000000000003,2021,M07,2021 Jul,5.5
LASST100000000000003,2021,M08,2021 Aug,5.3
LASST100000000000003,2021,M09,2021 Sep,5.0
LASST100000000000003,2021,M10,2021 Oct,4.9
LASST100000000000003,2021,M11,2021 Nov,4.8
LASST100000000000003,2021,M12,2021 Dec,4.8
LASST100000000000003,2022,M01,2022 Jan,4.8
LASST100000000000003,2022,M02,2022 Feb,4.6
LASST100000000000003,2022,M03,2022 Mar,4.5
LASST100000000000003,2022,M04,2022 Apr,4.5
LASST100000000000003,2022,M05,2022 May,4.5
LASST100000000000003,2022,M06,2022 Jun,4.5
LASST100000000000003,2022,M07,2022 Jul,4.4
LASST100000000000003,2022,M08,2022 Aug,4.5
LASST100000000000003,2022,M09,2022 Sep,4.3
LASST100000000000003,2022,M10,2022 Oct,4.3
LASST110000000000003,2020,M01,2020 Jan,5.3
LASST110000000000003,2020,M02,2020 Feb,5.4
LASST110000000000003,2020,M03,2020 Mar,5.5
LASST110000000000003,2020,M04,2020 Apr,11.1
LASST110000000000003,2020,M05,2020 May,9.0
LASST110000000000003,2020,M06,2020 Jun,8.8
LASST110000000000003,2020,M07,2020 Jul,9.0
LASST110000000000003,2020,M08,2020 Aug,8.8
LASST110000000000003,2020,M09,2020 Sep,8.7
LASST110000000000003,2020,M10,2020 Oct,8.2
LASST110000000000003,2020,M11,2020 Nov,7.8
LASST110000000000003,2020,M12,2020 Dec,7.5
LASST110000000000003,2021,M01,2021 Jan,6.9
LASST110000000000003,2021,M02,2021 Feb,6.7
LASST110000000000003,2021,M03,2021 Mar,6.6
LASST110000000000003,2021,M04,2021 Apr,6.8
LASST110000000000003,2021,M05,2021 May,6.9
LASST110000000000003,2021,M06,2021 Jun,7.2
LASST110000000000003,2021,M07,2021 Jul,7.1
LASST110000000000003,2021,M08,2021 Aug,6.9
LASST110000000000003,2021,M09,2021 Sep,6.5
LASST110000000000003,2021,M10,2021 Oct,6.3
LASST110000000000003,2021,M11,2021 Nov,6.1
LASST110000000000003,2021,M12,2021 Dec,6.1
LASST110000000000003,2022,M01,2022 Jan,6.3
LASST110000000000003,2022,M02,2022 Feb,6.1
LASST110000000000003,2022,M03,2022 Mar,6.0
LASST110000000000003,2022,M04,2022 Apr,5.8
LASST110000000000003,2022,M05,2022 May,5.7
LASST110000000000003,2022,M06,2022 Jun,5.5
LASST110000000000003,2022,M07,2022 Jul,5.2
LASST110000000000003,2022,M08,2022 Aug,5.1
LASST110000000000003,2022,M09,2022 Sep,4.7
LASST110000000000003,2022,M10,2022 Oct,4.8
LASST120000000000003,2020,M01,2020 Jan,2.8
LASST120000000000003,2020,M02,2020 Feb,2.7
LASST120000000000003,2020,M03,2020 Mar,4.5
LASST120000000000003,2020,M04,2020 Apr,13.2
LASST120000000000003,2020,M05,2020 May,13.9
LASST120000000000003,2020,M06,2020 Jun,11.6
LASST120000000000003,2020,M07,2020 Jul,12.5
LASST120000000000003,2020,M08,2020 Aug,8.9
LASST120000000000003,2020,M09,2020 Sep,8.7
LASST120000000000003,2020,M10,2020 Oct,7.2
LASST120000000000003,2020,M11,2020 Nov,6.7
LASST120000000000003,2020,M12,2020 Dec,6.5
LASST120000000000003,2021,M01,2021 Jan,6.0
LASST120000000000003,2021,M02,2021 Feb,5.6
LASST120000000000003,2021,M03,2021 Mar,5.4
